
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Finland","FIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","88228","","","","","","","12304","","","","","","","","","","","","","","4926","5363","6595","6335","4935","1974","617","1014","943","2369","5204","8856","10297","12108","9578","7748","7020","5893","4939","3068","3058","1991","2853","3139","","",
"Fiji","FJI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3781","","3366","4998","7561","7091","6042","6427","5803","2288","847","731","852","","845","370","647","599","","928","1285","2863","","2030","71","","",
"France","FRA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","121533","117502","108140","88847","","104466","93845","","5031","10305","0","58195","152259","","173828","65839","4593","6912","","1437","1742","14788","74005","82312","46017","10311","16022","","11313","147513","149358","150211","158440","159657","29510","28662","32322","50117","65076","80146","39111","43929","44390","43053","42401","37422","","",
"Faroe Islands","FRO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1898","2303","","","",
"Gabon","GAB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","642","","","","","","","","","","","","","","","","","","","","","","15591","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","105683","156448","212339","239897","241843","232527","210940","201690","186620","112844","114435","153762","218195","231559","270675","199812","83455","15831","11837","8867","80853","149289","","","","","","4378","2608","2383","2754","11445","4163","30430","60","19046","97083","46583","77370","68494","68540","58217","4676","4052","2629","11014","","",
"Georgia","GEO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61512","61475","56242","","","","","","","52887","53566","42780","20013","13559","14692","","10384","5361","915","688","1054","1063","2164","",
"Ghana","GHA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1105297","1017959","1199544","1146907","1215533","","1147460","1208785","1043671","884821","944675","","667257","716870","541782","453623","395157","544370","622861","",
"Gibraltar","GIB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","513971","509467","543910","581033","595777","622604","659574","674407","","","","","","","801891","787610","761149","726885","636541","598860","565696","545796","520270","497660","522447","509574","479340","417249","433171","422168","362777","","406478","","",
"Gambia, The","GMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","45827","49197","51307","53858","55878","57522","53750","50996","51018","49497","43572","42148","40684","40724","39892","42531","","","","70999","","83674","81782","","","71403","","67557","47393","53146","52644","58720","53063","54757","63290","55264","58127","71546","","82111","85158","81095","95817","90228","83324","78791","72584","",
"Guinea-Bissau","GNB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","67059","58466","","66966","70169","","87497","92775","","","","","","","","","","","","107130","","","","","","","","","","66306","","","","","","","","",
"Equatorial Guinea","GNQ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24444","","","","","","25262","21013","23387","25825","","","","","60281","64386","68143","69634","70697","","","84627","","","",
"Greece","GRC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","72371","67614","57451","43414","40583","39361","44992","51923","61050","75847","61320","58750","50882","51428","52768","61422","81999","74639","78318","79307","79864","93406","106628","109049","96439","98684","91400","41753","37277","28561","36497","35107","34796","36916","44251","48002","48791","","","40958","38660","36452","40327","49076","43505","48705","","",
"Grenada","GRD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","3807","","","","","396","196","241","679","1481","1998","1993","1577","","","","","","","","","","","","","","","2","","","602","","225","1387","","938","587","343","","","","200","338","286","411","","",
"Greenland","GRL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","500330","500850","506370","","519978","522671","","","543477","553498","547186","527412","580701","552430","","","","","","","","","","","","","","518553","","358112","314831","338243","280614","","194875","164815","131840","108802","110679","46051","59498","112895","182449","237111","280541","286107","298432","","",
"Guam","GUM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","17367","15634","","12236","","17336","11174","","15693","","","14831","","","","","","","","","8758","11072","12687","","10600","12094","","","","","","","12298","","","","","2890","8093","4216","2290","4303","","","","","","",
"High income","HIC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","8001588","7950084","7997300","7597326","7783346","7453896","6896686","6704265","6524890","6449091","4583458","4670680","4388382","4925585","5275621","5171776","4588371","4053968","3746645","3549895","3397415","3407931","3792626","3874670","3937717","3666314","3759427","4116243","3057171","2986456","3019741","2925378","3143578","2899416","2936211","2507641","2269525","2021135","1865291","2182806","2375741","2680149","2525704","2641882","2674295","2363509","2236041","2270632","",
"Hong Kong SAR, China","HKG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","75720","68282","67142","55907","44071","35899","28185","29947","28370","8835","10466","14200","16035","19415","25324","","","","","","","","","","34898","34566","","","","","","","","","","","","","","","","","","","","","","",
