
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Philippines","PHL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","221134","","","279356","","521566","530854","669547","741474","465168","528936","520126","352038","224699","145631","","434945","538332","715674","","459020","","926055","1269275","","1218528","1180275","1158897","1247450","1363020","1589319","1574526","1434031","1190762","","","","","401630","483240","586284","","",
"Palau","PLW","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13","8","","","","",
"Papua New Guinea","PNG","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","258646","","","","","","","","","","","","","","","","","","","","","","","310521","","","","254607","","",
"Poland","POL","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105806","109668","115554","141756","166951","185186","195451","184419","172898","160890","137151","120926","116773","102651","94550","100954","106604","99207","","",
"Pre-demographic dividend","PRE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","26701005","26588290","26416195","26375930","25677408","24751282","23534773","23303602","23202996","23637679","24013524","24879501","26268356","28003528","29845103","31207097","32908112","33932503","34150201","35482211","35965621","36738446","37072623","39624918","38145569","38743458","39058960","38285991","37444330","35874000","33565204","32695682","32574750","32052151","30857866","31361636","31546864","32316030","31771814","31917947","33006185","33479336","34604001","34987032","35810520","",
"Puerto Rico","PRI","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41618","51300","49146","48769","49320","53593","","","",
"Korea, Dem. People’s Rep.","PRK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52567","","","","","","","","","",
"Portugal","PRT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","122279","121555","","76891","66044","41173","","46029","41042","","","21715","5517","3475","4702","","","2614","15065","3148","2195","12699","3863","3035","","","","19729","","","","5481","4663","5978","","","4162","3368","6349","5703","6514","11832","17601","21663","","",
"Paraguay","PRY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","86127","","85212","84077","","100202","96938","93927","86731","81112","70720","61297","39443","60708","64384","66800","74880","72918","65519","55784","45786","33798","28554","26476","60663","62828","38319","","","23254","17183","17206","30917","37644","42235","38139","52163","66666","78467","85725","83515","82128","85429","","","","169579","","",
"West Bank and Gaza","PSE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36886","36447","45598","47644","52017","61053","71727","69270","70575","61553","53366","47244","43268","31513","32923","31598","36652","37653","30443","",
"Pacific island small states","PSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33749","32271","27509","26002","25303","34360","26625","28869","36466","36177","27384","23746","22190","22377","20866","20245","21052","21906","23416","23521","26449","31467","36384","38007","39867","36762","40519","",
"Post-demographic dividend","PST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7631506","7608248","7719042","7358273","7523623","7090237","6399933","6144034","5843334","5675543","3733746","3869711","3543673","3979125","4195446","4053801","3419500","2864270","2464095","2185918","1958760","1808651","2219096","2396030","2445114","2192125","2371057","2329758","1977823","1933543","2002420","1870819","2056392","1963890","2095922","1708882","1586740","1444633","1360782","1707550","2056720","2288179","2228352","2276685","2330192","2107101","1856073","1883524","",
"French Polynesia","PYF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","2685","2228","2181","2462","","2146","1954","1180","912","920","1356","1195","1907","2084","2955","2836","4374","5203","5973","7262","10115","12130","13044","10528","","","","1467","811","2214","1829","1104","1982","2372","473","4850","1095","","2304","3861","1063","2551","6885","7263","4340","2911","1873","",
"Romania","ROU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","366424","250721","172065","138664","126427","64727","95945","94470","90785","59928","26806","10045","21820","43386","45576","48898","48860","53048","58293","67356","","","96341","104542","","",
"Russian Federation","RUS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","231122","491314","","","","","","","","","","","389976","336736","264869","189858","","144020","145697","140587","214782","148885","146591","","",
"Rwanda","RWA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","298513","318683","342017","","332989","326486","","","","","","","","","","","","","","","","","","","","","241368","","","226461","143395","","","","","","","","","","","","","76897","115483","",
"South Asia","SAS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39646821","40780739","40117216","37670576","38633075","38025716","38221143","37423691","40683301","41426705","41097339","40418843","41100160","40186833","39668860","40404624","39264512","41721439","39652837","37507866","38151139","38617237","38540815","37059678","35710989","35758170","35737635","36000680","37447027","36453772","33755528","33667363","32533908","25631165","21559659","18508040","16134338","12973587","13287998","14516926","13183943","14405066","12838793","12379638","12048831","11576883","11000036","11560577","",
"Saudi Arabia","SAU","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","778283","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","281336","105259","106536","14608","68358","80255","","","","",
"Sudan","SDN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2341174","2536411","2588511","2618386","2620166","2519713","","",
"Senegal","SEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","586139","586755","598503","606855","613357","617509","632089","646194","591559","","624893","657665","692058","","748441","","786574","","758017","709245","683939","715149","678676","","","603562","664891","657481","623160","586838","583517","589711","586240","590985","543210","585576","589130","611057","677256","628099","",
"Singapore","SGP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","","",
"Solomon Islands","SLB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18359","14921","15132","","","","","","25971","26826","27006","25559","28887","",
"Sierra Leone","SLE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","383640","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74458","14945","","60624","10119","","",
"El Salvador","SLV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","215627","","","","","","","","","","","","","","","","","","","","","","","","","","","","145433","","73268","70459","56701","57209","","30318","30744","36149","34558","33456","31499","32552","38362","58750","75956","93456","102644","131351","",
"San Marino","SMR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","98","","117","","","","","","",
"Somalia","SOM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","497555","571431","672095","756096","831317","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","937","422","4878","5765","11309","16133","8178","11038","10450","3975","2187","2253","3860","",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31921018","32175974","31670284","31194145","30288416","29727224","29240499","29222634","29863178","31221758","32998526","35148421","37199432","38896807","39492831","41063245","41264669","42556855","43276169","44035406","44243324","46325290","44633292","44919382","45058886","43668996","42610798","41863059","40169145","39207794","37669166","36767689","34637357","34353956","34669454","35766498","34457208","34569951","34504334","34862871","35668193","36122329","36977662","",
"South Sudan","SSD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1011581","","","","1297786","","","",
"Sub-Saharan Africa","SSF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31922085","32177333","31671688","31195544","30290016","29729134","29242200","29224168","29864695","31223349","32999908","35149636","37200912","38898505","39494515","41064777","41265991","42558160","43277360","44036293","44244126","46326055","44633768","44919434","45059185","43669648","42612097","41863662","40169582","39208195","37669544","36768198","34637835","34354428","34669910","35766757","34457289","34569951","34504334","34862871","35668193","36122425","36977761","",
"Small states","SST","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","664580","685639","676099","668192","638716","627921","618937","593032","613377","628667","637231","615818","589346","593370","592962","586198","609128","611929","639490","662940","731818","766057","802580","817139","795565","804854","807271","801629","794701","810005","733063","702305","694324","697907","701968","718305","700090","706674","701647","695520","648795","623964","614559","651922","665634","670202","673529","660296","",
"Sao Tome and Principe","STP","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","423","451","","","1436","1157","","474","","","","","","","","","4334","","","835","519","240","290","","2747","2582","2375","2444","","","2894","2772","2834","","1013","",
"Suriname","SUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","4294","3166","","","","","","","539","","678","593","","","","","","","","","","","","","","","","","10505","9299","10423","6641","4422","5118","5805","5112","5049","5101","3944","3131","1363","",
"Slovak Republic","SVK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Slovenia","SVN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7552","5553","4712","2269","3258","3974","3297","2621","1822","261","1221","1752","2218","2039","2093","2162","2098","1590","2332","2639","2290","2691","","",
"Sweden","SWE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","3902","","","","","","25893","","","","","11201","9452","7188","2814","1601","939","2150","611","7176","1254","1131","","1596","4066","1971","3412","6482","22096","31664","32252","23308","9280","3814","3501","3002","2367","1980","1814","2375","2601","","",
"Eswatini","SWZ","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39238","40468","39942","38524","38867","37681","37914","37908","38867","39064","37741","35048","36157","38453","39051","38078","41197","42077","44481","47176","45388","46808","47110","51484","52232","51789","58214","","","","","","","","","","","","","54687","43671","41699","44254","51754","50405","53082","54963","","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1600","","","","","","","","","","","","","","1191","887","802","765","","52","","652","1299","603","437","401","378","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","308605","","219870","206481","211190","208174","203122","215115","226482","221952","231289","236397","238520","214412","194386","168977","105669","111841","108068","117989","97350","90237","91072","87202","87730","91055","112620","87427","89614","81181","63896","59659","28639","18176","15082","18206","20589","19913","22295","21939","","","667202","","","","","",
"Turks and Caicos Islands","TCA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","473407","","491129","","","","","","","","","","","615993","","","","","","","","766299","728209","689324","691130","694944","703731","680278","685384","","","","","","","","801961","","","","","","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","14189774","9672065","7885485","6703676","7345261","7951655","9432893","11185665","13198992","15839755","17640611","19087028","15206198","11157389","10183314","8871128","4556536","4735853","4967970","8571298","9327528","7324952","7061230","6349773","6032698","5676031","5854405","6394053","6242312","6396651","6547256","6507808","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1808435","1932008","2250463","2170888","2215620","2010719","1862280","1960202","1774479","1509880","1485624","1504013","1402840","1441742","1362543","1314261","1378221","1222533","1181017","1169513","1059849","1101797","1042167","1060218","1056918","",
"Togo","TGO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","166739","169717","","","","","","125238","123708","126177","","147825","166138","209884","228450","261667","218449","223962","229753","228791","217936","","","265251","208943","159077","180922","","89400","117954","95805","74043","89760","68439","75743","59801","91815","83153","","","","","","98079","40476","107922","103487","",
"Thailand","THA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","1782677","1812126","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63614","86606","115724","107315","","","","","","","","","",
"Tajikistan","TJK","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30953","34203","22104","21556","18362","20713","23849","31750","16067","12822","11187","12338","12558","16590","29192","35123","33988","11435","",
"Turkmenistan","TKM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","6829435","6850323","6809413","6678305","6567463","6642956","6492153","6136781","5982053","5349403","5305672","4920164","5004413","5113230","5209572","5101193","5149560","5148898","5313361","5738283","5485289","5332275","4865494","4742458","5032281","5046839","4761437","5373048","3625821","2887913","2510410","2313428","2300194","2707906","2576290","2710663","2997822","3234972","2424470","2312342","2183502","2108704","2146457","2541085","2688654","2653570","2635996","2753569","",
"Timor-Leste","TLS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62036","44541","24555","14013","16124","18559","24175","31406","39185","42619","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","7990063","8231303","7668909","7577002","7567713","7186531","6803631","6622175","6497017","6836309","6370665","6604238","6430606","6411621","6230992","6320416","6245300","6129824","6102630","6316638","5554489","5472906","6514527","6614920","6145526","6768776","6166306","6273574","6425061","6464527","5969171","4915372","4049635","3595027","3070161","3039543","2927391","2329592","2165061","1970093","1681604","1873074","1796819","2446786","2854535","2843934","2754069","2649084","",
"Tonga","TON","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1984","1832","879","","1802","457","","","","","","","179","1381","154","434","464","","","","1189","","","1133","","","","","869","1407","","150","","","291","178","164","","","","","","246","621","207","10","","","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","39646821","40780739","40117216","37670576","38633075","38025716","38221143","37423691","40683301","41426705","41097339","40418843","41100160","40186833","39668860","40404624","39264512","41721439","39652837","37507866","38151139","38617237","38540815","37059678","35710989","35758170","35737635","36000680","37447027","36453772","33755528","33667363","32533908","25631165","21559659","18508040","16134338","12973587","13287998","14516926","13183943","14405066","12838793","12379638","12048831","11576883","11000036","11560577","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","31922085","32177333","31671688","31195544","30290016","29729134","29242200","29224168","29864695","31223349","32999908","35149636","37200912","38898505","39494515","41064777","41265991","42558160","43277360","44036293","44244126","46326055","44633768","44919434","45059185","43669648","42612097","41863662","40169582","39208195","37669544","36768198","34637835","34354428","34669910","35766757","34457289","34569951","34504334","34862871","35668193","36122425","36977761","",
"Trinidad and Tobago","TTO","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","13568","15227","16459","16275","14091","8087","6577","9597","17107","22357","14339","12425","12623","14012","13700","17055","13721","12578","15637","19756","21136","22383","24252","","","21671","21096","","3541","2722","3425","7997","5708","4603","8265","","3884","2486","2089","1567","","","","","","","","",
"Tunisia","TUN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","200017","","","","231804","","","216462","204708","186581","171519","146694","117005","90002","83840","78143","73960","71736","67577","72928","61747","57857","48136","48538","45910","58448","72949","","71261","56146","32402","6046","3391","1734","11952","14157","23676","19772","13596","3511","3492","1014","3675","","","","","",
"Turkey","TUR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","738966","","","","","","","","","","","488138","436668","463075","362144","366719","256971","304335","293732","453275","505914","542464","","510642","","319609","263010","228366","207848","181126","161588","142835","126880","97930","149855","307939","257895","311764","401219","337098","267805","264491","294314","","",
"Tuvalu","TUV","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","31","","",
"Tanzania","TZA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","1603590","","","","1063678","1146205","1370105","1466077","1643763","1812445","1926698","2052546","2192400","2264699","2363764","2477538","2558404","2687324","2840234","2928267","3004927","3064642","3179049","3235333","3084705","2859099","1931357","1405318","1143127","865432","","","","","1061958","","1584845","1851249","2057757","","2033868","2207255","",
"Uganda","UGA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","1524708","","1520530","1520656","","","","1304590","","","","","","","","","","","","","","","","","","","","","","","629865","880591","709806","","714319","","","","","",
"Ukraine","UKR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60045","199617","196059","183778","196629","197754","195976","185136","143977","110706","95910","92483","122010","","","","",
"Upper middle income","UMC","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","20531300","16477511","14705997","12781721","11399626","11365580","12626334","14378624","17001474","19731659","21347609","22311066","17906830","13022367","11953298","10215063","4785447","4763848","4370965","7639618","8892970","7877015","7038453","6955468","7036468","7068109","7108942","7400912","7281344","6998174","7121028","7335070","",
"Uruguay","URY","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","43968","43716","39153","38048","40792","","","","25067","18728","16541","21712","23541","25412","25224","","","","","","","","7818","167","5955","2305","1711","481","","","1500","16282","6791","4858","","",
"United States","USA","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","4238648","","","","","","","","","","","1381892","1001298","","","284529","287911","","728737","884689","679354","949282","","","","","","","","","","","","","","","1605618","1541086","1508039","1435752","1334369","1013950","","",
"Uzbekistan","UZB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","174091","200167","202822","175968","156951","121061","95000","72674","61737","55859","33682","",
"St. Vincent and the Grenadines","VCT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","1267","","585","","","","","","","","98","","","","","","291","","150","81","93","262","","233","356","235","208","444","116","484","","157","243","209","",
"Venezuela, RB","VEN","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","556064","591539","630229","680710","675357","610815","571261","522031","483908","","","","","","","","","","","","","","","","","","","","501881","419413","329935","230270","274899","266380","306493","282401","247566","311000","245099","218114","218626","218437","244940","255486","279414","387517","485756","",
"British Virgin Islands","VGB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Virgin Islands (U.S.)","VIR","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","181878","659389","","","451219","","","","681248","","","","","","","","","","","","","78719","151120","243359","362436","634808","","","791546","619039","","194008","107189","122755","39698","119541","127071","","","","","",
"Vanuatu","VUT","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","2988","","","","","","","","6089","","","","","","","","","557","685","201","127","238","103","759","277","","","","","","","","","","5103","","","",
"World","WLD","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","125230066","129332188","128922201","121778932","121140900","117488039","116040896","117921742","124982219","124528664","119514330","115928470","114501170","113913186","113118022","110116325","106151188","105378616","102848406","100631771","102253223","103164116","106859938","108242087","109659848","113185669","116166353","116881336","112484359","106688949","100894960","96939095","89807811","81040659","75683598","74265114","71740897","63755200","62324993","63171526","62268382","62201785","60734991","61810563","62334355","62436550","62241507","63669916","",
"Samoa","WSM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1780","","","","1059","2080","2467","1530","","","","","","456","","75","904","1393","1106","","800","802","1109","1154","",
"Kosovo","XKX","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430185","","1226879","","1060180","964093","890064","","","886864","","716820","","605634","599564","","","703884","","",
"South Africa","ZAF","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","1459651","","","","","","","","","","","","","","","","","","","","","896382","","","606354","528860","","","488453","422831","560378","555283","550274","534297","547486","641312","","","","","","","","","","620845","","","",
"Zambia","ZMB","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","184705","","","","192078","200185","220003","234056","242786","252150","263846","253855","248161","","246228","","292820","","","","","","462341","506987","","","608707","653868","673948","700117","660507","","425460","252811","307653","259813","256643","343908","425130","329243","288743","363385","","","","","",
"Zimbabwe","ZWE","Children out of school, primary","SE.PRM.UNER","","","","","","","","","","","","","","","","","","","","","","","36487","","18500","","29836","","","","","","","","","","","","377907","327393","310035","262808","348766","382735","","","","","","","","","314374","398579","","","","","",
